text,favorited,created,statusSource,retweetCount,,,
"RT @RealCandaceO: Afghanistan has vaccinated approximately 2.4% of their population. (Source: Reuters)
They are a nation of about 40 millio…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",8615,,,
RT @newsmax: Callista Gingrich: \In Taliban-controlled Afghanistan," women in particular are in grave danger.\"" https://t.co/WDZFQMFoRc""",NA,NA,trisigkelly,NA,,
RT @EmeraldRobinson: The entire population of Afghanistan faked the Afghan Army for 20 years to be on the CIA payroll. Then they all quit i…,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",2760,,,
"RT @GregAbbott_TX: If Biden bows to the Taliban, how can be expect him to stand up to China and Russia?

America's foreign policy position…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",76,,,
RT @farnazfassihi: A 345-seat chartered plane to evacuate Afghans leaves Kabul empty today because they couldn't get through Taliban checkp…,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",1106,,,
"RT @AmmadYousaf: \India should give ppl of IOJK their right of self determination. We the people of Afghanistan stand should to shoulder wi…""",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",264,,,
US denies Taliban access to Afghanistan’s gold &amp; cash reserves. World Bank suspends aid. IMF suspends operations wi… https://t.co/ngdnjUAdnH,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",0,,,
RT @sushantsareen: Three excellent recommendations: recognise @AmrullahSaleh2 as Prez of Afghanistan; open humanitarian/refugee corridors f…,FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",115,,,
Wife fears for Australian Hazara man after video showed him bloodied in Afghanistan https://t.co/eXN1RsqP6g,FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",0,,,
RT @mikepompeo: Christians and other religious minorities in Afghanistan are being persecuted for their faith. We are praying for their saf…,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",3052,,,
"RT @FrudBezhan: 250,000 Afghans have worked for U.S. military in #Afghanistan since 2001, advocacy groups estimate

But U.S. has evacuated…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",177,,,
RT @farnazfassihi: A 345-seat chartered plane to evacuate Afghans leaves Kabul empty today because they couldn't get through Taliban checkp…,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",1106,,,
"RT @NikkiHaley: Biden badly bungled the withdrawal from Afghanistan, making America weaker and less safe while leaving many Americans and A…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",335,,,
RT @journorosa: My brave friend @mellissafung was in Kabul just before the Taliban took over. The girls and women she met in Afghanistan th…,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",10,,,
"RT @RealCandaceO: Afghanistan has vaccinated approximately 2.4% of their population. (Source: Reuters)
They are a nation of about 40 millio…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",8615,,,
"RT @MeidasTouch: FLASHBACK: In February 2020, Donald Trump discussed how he empowered the Taliban to take over Afghanistan after America's…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",13482,,,
"RT @MeidasTouch: Kevin McCarthy is whining that 5,000 Taliban prisoners were released in Afghanistan. Maybe he should take it up with the g…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",4783,,,
"RT @chipfranklin: House Republican Leader Kevin McCarthy is upset about the 5,000 Taliban prisoners who were released in Afghanistan.

Is n…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",585,,,
"RT @RonCross_67: @MeidasTouch @DavidsenJill For reference, here's the document signed by the US Ambassador to Afghanistan and the Taliban,…",FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",24,,,
"RT @GregAbbott_TX: If Biden bows to the Taliban, how can be expect him to stand up to China and Russia?

America's foreign policy position…",FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",76,,,
RT @mikepompeo: Christians and other religious minorities in Afghanistan are being persecuted for their faith. We are praying for their saf…,FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",3052,,,
"@WeHearPodcast Marco really don’t know anything. 

Taliban are Afghanistan Government now. Trump gave Taliban big V… https://t.co/nV2g34OLgF",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",0,,,
RT @DougJBalloon: Today is the day that the Taliban truly became the leaders of Afghanistan,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",2,,,
"RT @JackMurphyRGR: It was a tactic developed to fight ISIS in Iraq, an enemy Army that occupied cities but then this template was brought t…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",7,,,
"RT @nytimes: Swimming propelled Abbas Karimi, one of six athletes competing for the Refugee Paralympic Team in Tokyo, to flee Afghanistan w…",FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",62,,,
"RT @JuliaESavel: “The Taliban could not outfight Americans, but it could outlast us, because we had no political endgame.” 

Absolutely bri…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",1,,,
"RT @jomalhotra: Taliban's Islamic emirate is based in Quetta &amp; Pakistani fighters fight alongside Taliban in Afghanistan, says Pakistan’s e…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",15,,,
@rls0054 @themiddlepartss @Breaking911 For crying out loud you people are clueless with various aspects of this sit… https://t.co/0GfEvP7wF8,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",0,,,
